
result,blunders,cpl,moves,elo
win,2,35,40,1250
loss,1,50,38,1100
draw,0,20,42,1200
win,1,25,35,1300
loss,3,60,45,1050
draw,2,30,38,1180
win,0,15,32,1350
loss,4,70,50,1000
draw,1,28,40,1220
win,2,22,36,1280
loss,2,45,42,1120
draw,3,35,48,1190
win,1,18,34,1320
loss,5,80,55,950
draw,0,25,45,1240
loss,0,0,9,1030
loss,0,0,8,1030
loss,0,0,13,1030
loss,0,0,7,1030
loss,0,0,11,1030
loss,0,0,8,1030
loss,0,0,7,1030
loss,0,0,23,1030
loss,0,0,5,1030
loss,0,0,6,1030
loss,0,0,5,1030
loss,0,0,42,1030
loss,0,0,5,1030
draw,0,0,33,1190
loss,0,0,6,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,1,0,5,1022
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,6,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,6,1030
loss,0,0,6,1030
loss,0,0,5,1030
loss,0,0,6,1030
loss,0,0,5,1030
loss,0,0,5,1030
loss,0,0,6,1030
loss,0,0,6,1030
loss,0,0,4,1030
loss,0,0,6,1030
loss,0,0,6,1030
loss,0,0,12,1030
loss,0,0,10,1030
loss,0,0,12,1030
loss,0,0,10,1030
loss,0,0,12,1030
loss,1,0,40,1022
loss,0,0,46,1030
draw,0,0,160,1190
loss,0,0,10,1030
